MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
942,AK: FAIRBANKS,01/01/2015 00:54:00,,1102.00,612.00,175.00,105.00,57.00,76.00,52.00,25.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 01:55:00,,1098.00,613.00,176.00,103.00,58.00,76.00,51.00,24.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 02:55:00,,1065.00,583.00,165.00,99.00,57.00,73.00,48.00,24.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 03:55:00,,1054.00,562.00,162.00,92.00,53.00,67.00,50.00,23.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 04:55:00,,1064.00,573.00,163.00,94.00,53.00,71.00,50.00,22.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 05:55:00,,1060.00,584.00,167.00,97.00,56.00,74.00,51.00,25.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 06:56:00,,1056.00,570.00,162.00,95.00,54.00,68.00,48.00,23.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 07:56:00,,1055.00,562.00,161.00,91.00,53.00,69.00,48.00,23.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 08:56:00,,1076.00,587.00,171.00,97.00,54.00,73.00,48.00,24.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 09:56:00,,1082.00,597.00,169.00,100.00,56.00,74.00,50.00,23.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 10:56:00,,1093.00,616.00,172.00,103.00,57.00,73.00,52.00,24.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 11:57:00,,1112.00,618.00,173.00,106.00,58.00,75.00,52.00,24.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 12:57:00,,1102.00,605.00,178.00,104.00,55.00,75.00,50.00,24.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 13:57:00,,1088.00,591.00,168.00,95.00,54.00,70.00,49.00,22.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 14:57:00,,1088.00,577.00,168.00,89.00,53.00,69.00,47.00,24.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 15:57:00,,1086.00,574.00,164.00,85.00,53.00,67.00,45.00,23.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 16:58:00,,1097.00,575.00,166.00,88.00,53.00,69.00,45.00,22.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 17:58:00,,1106.00,586.00,166.00,88.00,54.00,73.00,46.00,23.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 18:58:00,,1121.00,604.00,174.00,93.00,54.00,73.00,46.00,24.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 19:58:00,,1138.00,615.00,175.00,93.00,55.00,75.00,48.00,23.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 20:58:00,,1133.00,622.00,174.00,97.00,55.00,75.00,49.00,24.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 21:59:00,,1136.00,618.00,176.00,95.00,55.00,73.00,47.00,23.00,APPROVED
942,AK: FAIRBANKS,01/01/2015 22:59:00,,1146.00,624.00,181.00,100.00,57.00,77.00,47.00,23.00,APPROVED
