MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
914,CA: SAN FRANCISCO,07/31/2006 16:50:00,,5506.00,644.00,294.00,260.00,382.00,232.00,29.00,34.00,APPROVED
914,CA: SAN FRANCISCO,08/08/2006 22:38:00,,5758.00,730.00,310.00,283.00,420.00,260.00,31.00,38.00,APPROVED
914,CA: SAN FRANCISCO,08/20/2006 19:15:00,,5997.00,760.00,325.00,306.00,419.00,271.00,34.00,42.00,APPROVED
914,CA: SAN FRANCISCO,08/20/2006 19:35:00,,6019.00,757.00,318.00,312.00,417.00,284.00,34.00,40.00,APPROVED
914,CA: SAN FRANCISCO,08/21/2006 13:46:00,,6091.00,785.00,321.00,315.00,431.00,282.00,32.00,40.00,APPROVED
914,CA: SAN FRANCISCO,09/07/2006 23:04:00,,2903.00,382.00,169.00,160.00,248.00,177.00,18.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 00:04:00,,2930.00,391.00,169.00,165.00,254.00,179.00,20.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 02:05:00,,2924.00,389.00,170.00,169.00,253.00,176.00,20.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 03:05:00,,2915.00,380.00,171.00,164.00,252.00,172.00,19.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 04:05:00,,2911.00,379.00,165.00,158.00,248.00,172.00,19.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 05:05:00,,2912.00,375.00,164.00,158.00,248.00,172.00,19.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 06:05:00,,2915.00,370.00,168.00,156.00,250.00,170.00,18.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 07:06:00,,2900.00,375.00,166.00,162.00,248.00,171.00,19.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 08:06:00,,2902.00,375.00,167.00,157.00,248.00,171.00,19.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 09:06:00,,2908.00,374.00,166.00,156.00,247.00,171.00,20.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 10:06:00,,2902.00,370.00,165.00,154.00,246.00,169.00,19.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 11:06:00,,2888.00,373.00,165.00,157.00,247.00,167.00,20.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 12:06:00,,2903.00,371.00,164.00,155.00,248.00,169.00,20.00,23.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 14:07:00,,2907.00,372.00,163.00,156.00,245.00,168.00,20.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 15:07:00,,2885.00,375.00,169.00,159.00,243.00,170.00,19.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 16:07:00,,2905.00,371.00,165.00,155.00,249.00,170.00,20.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 17:07:00,,2904.00,374.00,165.00,156.00,249.00,171.00,18.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 18:08:00,,2904.00,374.00,168.00,156.00,249.00,171.00,19.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 19:08:00,,2875.00,374.00,165.00,155.00,244.00,170.00,19.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 20:08:00,,2875.00,375.00,169.00,159.00,246.00,174.00,20.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 21:08:00,,2836.00,373.00,165.00,156.00,245.00,174.00,18.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 22:08:00,,2838.00,371.00,164.00,157.00,246.00,173.00,20.00,20.00,APPROVED
914,CA: SAN FRANCISCO,09/08/2006 23:09:00,,2836.00,369.00,166.00,156.00,243.00,170.00,19.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/09/2006 00:09:00,,2848.00,371.00,166.00,154.00,245.00,171.00,19.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/09/2006 01:09:00,,2869.00,369.00,163.00,155.00,244.00,171.00,18.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/09/2006 02:09:00,,2886.00,372.00,166.00,157.00,249.00,173.00,19.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/09/2006 03:09:00,,2932.00,380.00,173.00,159.00,249.00,172.00,19.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/09/2006 04:10:00,,2909.00,380.00,171.00,160.00,249.00,170.00,20.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/09/2006 05:10:00,,2893.00,376.00,168.00,157.00,247.00,170.00,19.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/09/2006 06:10:00,,2887.00,369.00,166.00,156.00,244.00,169.00,20.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/09/2006 07:10:00,,2871.00,372.00,165.00,157.00,248.00,169.00,19.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/09/2006 08:10:00,,2886.00,366.00,161.00,153.00,247.00,170.00,19.00,20.00,APPROVED
914,CA: SAN FRANCISCO,09/12/2006 15:26:00,,3070.00,420.00,184.00,188.00,271.00,187.00,24.00,24.00,APPROVED
914,CA: SAN FRANCISCO,09/12/2006 17:26:00,,3027.00,424.00,176.00,188.00,271.00,196.00,23.00,25.00,APPROVED
914,CA: SAN FRANCISCO,09/12/2006 22:27:00,,3118.00,441.00,177.00,193.00,269.00,200.00,21.00,26.00,APPROVED
914,CA: SAN FRANCISCO,09/13/2006 01:28:00,,3013.00,420.00,178.00,186.00,267.00,190.00,23.00,24.00,APPROVED
914,CA: SAN FRANCISCO,09/13/2006 11:30:00,,2959.00,385.00,172.00,164.00,255.00,176.00,20.00,23.00,APPROVED
914,CA: SAN FRANCISCO,09/14/2006 20:36:00,,2856.00,374.00,166.00,161.00,248.00,175.00,19.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/15/2006 05:38:00,,2924.00,383.00,170.00,159.00,251.00,172.00,20.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/15/2006 06:38:00,,2957.00,385.00,172.00,163.00,255.00,175.00,20.00,21.00,APPROVED
914,CA: SAN FRANCISCO,09/15/2006 07:38:00,,2965.00,391.00,174.00,169.00,256.00,177.00,21.00,20.00,APPROVED
914,CA: SAN FRANCISCO,09/15/2006 08:38:00,,2986.00,398.00,172.00,169.00,255.00,176.00,20.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/15/2006 09:39:00,,2993.00,397.00,176.00,171.00,255.00,177.00,20.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/15/2006 10:39:00,,2992.00,396.00,174.00,169.00,259.00,175.00,21.00,22.00,APPROVED
914,CA: SAN FRANCISCO,09/15/2006 11:39:00,,2999.00,391.00,174.00,171.00,257.00,176.00,22.00,22.00,APPROVED
