MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
302,DC: WASHINGTON,01/01/2011 00:32:00,,1823.00,1194.00,325.00,197.00,111.00,140.00,94.00,44.00,APPROVED
302,DC: WASHINGTON,01/01/2011 01:32:00,,1821.00,1184.00,329.00,199.00,112.00,139.00,91.00,43.00,APPROVED
302,DC: WASHINGTON,01/01/2011 02:33:00,,1807.00,1181.00,324.00,198.00,111.00,137.00,90.00,42.00,APPROVED
302,DC: WASHINGTON,01/01/2011 03:33:00,,1794.00,1179.00,331.00,196.00,113.00,137.00,92.00,43.00,APPROVED
302,DC: WASHINGTON,01/01/2011 04:33:00,,1817.00,1181.00,326.00,193.00,109.00,139.00,94.00,43.00,APPROVED
302,DC: WASHINGTON,01/01/2011 05:33:00,,1808.00,1184.00,329.00,197.00,112.00,139.00,91.00,44.00,APPROVED
302,DC: WASHINGTON,01/01/2011 06:34:00,,1814.00,1177.00,331.00,198.00,110.00,142.00,93.00,42.00,APPROVED
302,DC: WASHINGTON,01/01/2011 07:34:00,,1819.00,1188.00,334.00,198.00,113.00,140.00,92.00,44.00,APPROVED
302,DC: WASHINGTON,01/01/2011 08:34:00,,1828.00,1198.00,334.00,199.00,114.00,142.00,93.00,42.00,APPROVED
302,DC: WASHINGTON,01/01/2011 09:34:00,,1830.00,1205.00,335.00,207.00,114.00,143.00,92.00,44.00,APPROVED
302,DC: WASHINGTON,01/01/2011 10:34:00,,1827.00,1195.00,334.00,205.00,114.00,142.00,93.00,44.00,APPROVED
302,DC: WASHINGTON,01/01/2011 11:35:00,,1838.00,1211.00,330.00,204.00,114.00,141.00,93.00,44.00,APPROVED
302,DC: WASHINGTON,01/01/2011 12:35:00,,1828.00,1199.00,333.00,202.00,112.00,137.00,94.00,45.00,APPROVED
302,DC: WASHINGTON,01/01/2011 13:35:00,,1809.00,1200.00,325.00,200.00,112.00,138.00,92.00,43.00,APPROVED
302,DC: WASHINGTON,01/01/2011 14:35:00,,1794.00,1181.00,324.00,196.00,113.00,138.00,94.00,43.00,APPROVED
302,DC: WASHINGTON,01/01/2011 15:36:00,,1788.00,1153.00,323.00,194.00,109.00,137.00,92.00,41.00,APPROVED
302,DC: WASHINGTON,01/01/2011 16:36:00,,1763.00,1144.00,319.00,191.00,107.00,135.00,89.00,42.00,APPROVED
302,DC: WASHINGTON,01/01/2011 17:36:00,,1753.00,1124.00,317.00,183.00,103.00,132.00,88.00,41.00,APPROVED
302,DC: WASHINGTON,01/01/2011 18:36:00,,1752.00,1109.00,307.00,178.00,105.00,133.00,88.00,41.00,APPROVED
302,DC: WASHINGTON,01/01/2011 19:36:00,,1746.00,1119.00,310.00,179.00,106.00,129.00,87.00,41.00,APPROVED
302,DC: WASHINGTON,01/01/2011 20:37:00,,1746.00,1120.00,311.00,179.00,104.00,131.00,87.00,39.00,APPROVED
302,DC: WASHINGTON,01/01/2011 21:37:00,,1725.00,1103.00,308.00,176.00,102.00,127.00,87.00,41.00,APPROVED
302,DC: WASHINGTON,01/01/2011 22:37:00,,1731.00,1099.00,310.00,176.00,103.00,127.00,87.00,39.00,APPROVED
302,DC: WASHINGTON,01/01/2011 23:37:00,,1764.00,1132.00,309.00,184.00,108.00,130.00,89.00,43.00,APPROVED
302,DC: WASHINGTON,01/02/2011 00:38:00,,1775.00,1133.00,321.00,185.00,108.00,134.00,88.00,42.00,APPROVED
302,DC: WASHINGTON,01/02/2011 01:38:00,,1771.00,1128.00,313.00,183.00,106.00,134.00,88.00,41.00,APPROVED
302,DC: WASHINGTON,01/02/2011 02:38:00,,1759.00,1134.00,313.00,183.00,103.00,131.00,90.00,40.00,APPROVED
302,DC: WASHINGTON,01/02/2011 03:39:00,,1765.00,1123.00,317.00,181.00,104.00,132.00,88.00,40.00,APPROVED
302,DC: WASHINGTON,01/02/2011 04:39:00,,1760.00,1126.00,315.00,184.00,106.00,132.00,88.00,42.00,APPROVED
302,DC: WASHINGTON,01/02/2011 05:39:00,,1752.00,1120.00,318.00,180.00,106.00,131.00,87.00,40.00,APPROVED
302,DC: WASHINGTON,01/02/2011 06:39:00,,1754.00,1129.00,312.00,183.00,105.00,130.00,89.00,40.00,APPROVED
302,DC: WASHINGTON,01/02/2011 07:39:00,,1757.00,1131.00,315.00,181.00,108.00,131.00,89.00,41.00,APPROVED
302,DC: WASHINGTON,01/02/2011 08:40:00,,1748.00,1126.00,319.00,181.00,104.00,129.00,89.00,40.00,APPROVED
302,DC: WASHINGTON,01/02/2011 09:40:00,,1783.00,1146.00,322.00,185.00,108.00,134.00,87.00,41.00,APPROVED
302,DC: WASHINGTON,01/02/2011 10:40:00,,1802.00,1172.00,328.00,192.00,110.00,136.00,91.00,41.00,APPROVED
302,DC: WASHINGTON,01/02/2011 11:40:00,,1791.00,1152.00,322.00,189.00,106.00,136.00,93.00,42.00,APPROVED
302,DC: WASHINGTON,01/02/2011 12:40:00,,1787.00,1161.00,321.00,191.00,106.00,134.00,89.00,41.00,APPROVED
302,DC: WASHINGTON,01/02/2011 13:41:00,,1880.00,1255.00,344.00,209.00,116.00,145.00,97.00,46.00,APPROVED
302,DC: WASHINGTON,01/02/2011 14:41:00,,1849.00,1217.00,334.00,203.00,116.00,143.00,96.00,43.00,APPROVED
302,DC: WASHINGTON,01/02/2011 15:41:00,,1801.00,1162.00,324.00,194.00,109.00,134.00,92.00,42.00,APPROVED
302,DC: WASHINGTON,01/02/2011 16:41:00,,1813.00,1183.00,325.00,201.00,111.00,134.00,91.00,44.00,APPROVED
302,DC: WASHINGTON,01/02/2011 17:42:00,,1798.00,1167.00,326.00,192.00,111.00,140.00,94.00,41.00,APPROVED
302,DC: WASHINGTON,01/02/2011 18:42:00,,1840.00,1202.00,332.00,199.00,114.00,141.00,91.00,43.00,APPROVED
302,DC: WASHINGTON,01/02/2011 19:42:00,,1853.00,1232.00,335.00,208.00,115.00,143.00,94.00,45.00,APPROVED
302,DC: WASHINGTON,01/02/2011 20:42:00,,1844.00,1211.00,331.00,207.00,116.00,142.00,95.00,44.00,APPROVED
302,DC: WASHINGTON,01/02/2011 21:43:00,,1800.00,1160.00,324.00,190.00,110.00,134.00,89.00,42.00,APPROVED
302,DC: WASHINGTON,01/02/2011 22:43:00,,1788.00,1149.00,320.00,187.00,109.00,134.00,90.00,40.00,APPROVED
302,DC: WASHINGTON,01/02/2011 23:43:00,,1772.00,1136.00,312.00,185.00,107.00,131.00,89.00,41.00,APPROVED
