MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
406,FL: MIAMI,02/13/2010 00:36:00,,3457.00,2258.00,669.00,316.00,141.00,152.00,82.00,52.00,APPROVED
406,FL: MIAMI,02/13/2010 01:36:00,,3518.00,2297.00,696.00,328.00,149.00,160.00,92.00,51.00,APPROVED
406,FL: MIAMI,02/13/2010 02:36:00,,3295.00,2095.00,653.00,304.00,134.00,142.00,82.00,48.00,APPROVED
406,FL: MIAMI,02/13/2010 03:36:00,,3195.00,2022.00,630.00,284.00,130.00,132.00,77.00,48.00,APPROVED
406,FL: MIAMI,02/16/2010 11:52:00,,3209.00,2007.00,630.00,285.00,128.00,130.00,77.00,46.00,APPROVED
406,FL: MIAMI,02/22/2010 06:24:00,,3152.00,1997.00,622.00,275.00,125.00,123.00,73.00,47.00,APPROVED
406,FL: MIAMI,02/22/2010 07:24:00,,3164.00,1982.00,622.00,272.00,124.00,125.00,74.00,47.00,APPROVED
406,FL: MIAMI,02/22/2010 11:25:00,,3157.00,1969.00,616.00,275.00,126.00,127.00,75.00,46.00,APPROVED
406,FL: MIAMI,02/23/2010 03:07:00,,3117.00,1963.00,603.00,269.00,120.00,121.00,73.00,46.00,APPROVED
406,FL: MIAMI,02/23/2010 04:07:00,,3110.00,1943.00,599.00,271.00,122.00,120.00,74.00,45.00,APPROVED
406,FL: MIAMI,02/23/2010 05:08:00,,3119.00,1943.00,596.00,268.00,119.00,120.00,72.00,48.00,APPROVED
406,FL: MIAMI,02/23/2010 06:08:00,,3119.00,1943.00,602.00,269.00,122.00,120.00,72.00,46.00,APPROVED
406,FL: MIAMI,02/23/2010 07:08:00,,3138.00,1959.00,604.00,272.00,123.00,122.00,74.00,46.00,APPROVED
406,FL: MIAMI,02/23/2010 08:08:00,,3151.00,1997.00,618.00,283.00,126.00,125.00,76.00,45.00,APPROVED
406,FL: MIAMI,02/23/2010 09:08:00,,3160.00,2007.00,623.00,290.00,128.00,130.00,78.00,47.00,APPROVED
406,FL: MIAMI,02/23/2010 10:09:00,,3184.00,2027.00,620.00,285.00,129.00,131.00,77.00,47.00,APPROVED
406,FL: MIAMI,02/23/2010 11:09:00,,3196.00,2047.00,631.00,295.00,128.00,136.00,79.00,48.00,APPROVED
406,FL: MIAMI,02/23/2010 12:09:00,,3196.00,2061.00,631.00,297.00,132.00,138.00,82.00,48.00,APPROVED
406,FL: MIAMI,02/23/2010 13:09:00,,3167.00,2030.00,623.00,292.00,131.00,133.00,78.00,49.00,APPROVED
406,FL: MIAMI,02/23/2010 14:09:00,,3151.00,2005.00,621.00,284.00,127.00,131.00,78.00,48.00,APPROVED
406,FL: MIAMI,02/24/2010 15:14:00,,3164.00,2013.00,617.00,286.00,126.00,130.00,77.00,49.00,APPROVED
406,FL: MIAMI,02/24/2010 20:15:00,,3077.00,1953.00,598.00,272.00,123.00,125.00,75.00,47.00,APPROVED
406,FL: MIAMI,02/27/2010 23:30:00,,3275.00,2072.00,641.00,288.00,132.00,139.00,78.00,47.00,APPROVED
406,FL: MIAMI,02/28/2010 00:30:00,,3191.00,2013.00,632.00,276.00,127.00,128.00,73.00,45.00,APPROVED
406,FL: MIAMI,02/28/2010 01:30:00,,3150.00,1984.00,618.00,271.00,126.00,128.00,76.00,44.00,APPROVED
406,FL: MIAMI,03/12/2010 00:34:00,,3079.00,1928.00,596.00,267.00,121.00,121.00,71.00,47.00,APPROVED
406,FL: MIAMI,03/12/2010 01:34:00,,3078.00,1922.00,599.00,267.00,121.00,119.00,73.00,45.00,APPROVED
406,FL: MIAMI,03/12/2010 02:34:00,,3095.00,1947.00,601.00,269.00,122.00,119.00,73.00,46.00,APPROVED
406,FL: MIAMI,03/12/2010 03:35:00,,3101.00,1943.00,600.00,268.00,123.00,121.00,71.00,47.00,APPROVED
406,FL: MIAMI,03/12/2010 04:35:00,,3110.00,1953.00,605.00,269.00,122.00,118.00,72.00,47.00,APPROVED
406,FL: MIAMI,03/12/2010 05:35:00,,3109.00,1942.00,599.00,267.00,121.00,119.00,73.00,45.00,APPROVED
406,FL: MIAMI,03/12/2010 06:35:00,,3103.00,1942.00,596.00,264.00,122.00,122.00,74.00,47.00,APPROVED
406,FL: MIAMI,03/12/2010 07:35:00,,3100.00,1946.00,595.00,264.00,120.00,119.00,72.00,47.00,APPROVED
406,FL: MIAMI,03/12/2010 08:36:00,,3094.00,1945.00,596.00,271.00,124.00,122.00,72.00,46.00,APPROVED
406,FL: MIAMI,03/12/2010 09:36:00,,3097.00,1935.00,599.00,267.00,122.00,120.00,75.00,46.00,APPROVED
406,FL: MIAMI,03/12/2010 10:36:00,,3098.00,1947.00,607.00,266.00,122.00,118.00,73.00,47.00,APPROVED
406,FL: MIAMI,03/12/2010 11:36:00,,3108.00,1945.00,602.00,270.00,124.00,122.00,74.00,46.00,APPROVED
406,FL: MIAMI,03/12/2010 12:36:00,,3095.00,1948.00,601.00,271.00,120.00,121.00,73.00,48.00,APPROVED
406,FL: MIAMI,03/12/2010 13:37:00,,3092.00,1949.00,604.00,273.00,120.00,121.00,72.00,48.00,APPROVED
406,FL: MIAMI,03/12/2010 14:37:00,,3077.00,1947.00,608.00,271.00,121.00,124.00,74.00,49.00,APPROVED
406,FL: MIAMI,03/12/2010 15:37:00,,3098.00,1949.00,603.00,274.00,121.00,123.00,75.00,48.00,APPROVED
406,FL: MIAMI,03/12/2010 16:37:00,,3106.00,1963.00,602.00,273.00,124.00,122.00,75.00,48.00,APPROVED
406,FL: MIAMI,03/12/2010 19:38:00,,3131.00,1983.00,613.00,281.00,123.00,124.00,76.00,48.00,APPROVED
406,FL: MIAMI,03/12/2010 21:38:00,,3410.00,2196.00,673.00,321.00,142.00,152.00,84.00,53.00,APPROVED
406,FL: MIAMI,03/13/2010 00:39:00,,3116.00,1960.00,611.00,274.00,123.00,121.00,72.00,48.00,APPROVED
406,FL: MIAMI,03/13/2010 01:39:00,,3129.00,1964.00,609.00,274.00,123.00,124.00,73.00,48.00,APPROVED
406,FL: MIAMI,03/13/2010 02:39:00,,3121.00,1963.00,599.00,268.00,122.00,123.00,75.00,47.00,APPROVED
406,FL: MIAMI,03/13/2010 03:39:00,,3117.00,1954.00,602.00,273.00,123.00,121.00,74.00,47.00,APPROVED
406,FL: MIAMI,03/13/2010 06:40:00,,3115.00,1955.00,607.00,283.00,125.00,123.00,74.00,47.00,APPROVED
406,FL: MIAMI,03/13/2010 07:40:00,,3130.00,1981.00,610.00,277.00,125.00,126.00,75.00,46.00,APPROVED
406,FL: MIAMI,03/18/2010 00:03:00,,3134.00,1965.00,606.00,271.00,123.00,124.00,73.00,46.00,APPROVED
406,FL: MIAMI,03/18/2010 01:03:00,,3155.00,1966.00,612.00,276.00,124.00,124.00,73.00,46.00,APPROVED
406,FL: MIAMI,03/18/2010 02:03:00,,3159.00,1979.00,611.00,274.00,124.00,128.00,74.00,44.00,APPROVED
406,FL: MIAMI,03/18/2010 03:03:00,,3164.00,1982.00,622.00,276.00,126.00,126.00,74.00,45.00,APPROVED
406,FL: MIAMI,03/18/2010 04:04:00,,3155.00,1988.00,625.00,277.00,125.00,127.00,76.00,45.00,APPROVED
406,FL: MIAMI,03/18/2010 05:04:00,,3177.00,1999.00,624.00,274.00,128.00,127.00,75.00,47.00,APPROVED
406,FL: MIAMI,03/18/2010 06:04:00,,3184.00,2019.00,625.00,276.00,126.00,130.00,76.00,46.00,APPROVED
406,FL: MIAMI,03/18/2010 07:04:00,,3195.00,2038.00,636.00,286.00,129.00,132.00,76.00,45.00,APPROVED
406,FL: MIAMI,03/18/2010 08:04:00,,3187.00,2022.00,636.00,286.00,130.00,134.00,78.00,46.00,APPROVED
406,FL: MIAMI,03/18/2010 09:05:00,,3164.00,1997.00,627.00,278.00,126.00,128.00,74.00,45.00,APPROVED
406,FL: MIAMI,03/18/2010 10:05:00,,3148.00,1981.00,618.00,274.00,125.00,125.00,74.00,43.00,APPROVED
406,FL: MIAMI,03/18/2010 11:05:00,,3158.00,1974.00,616.00,275.00,127.00,128.00,73.00,44.00,APPROVED
406,FL: MIAMI,03/18/2010 12:05:00,,3139.00,1976.00,620.00,269.00,121.00,126.00,73.00,44.00,APPROVED
406,FL: MIAMI,03/18/2010 13:05:00,,3142.00,1965.00,621.00,275.00,124.00,125.00,74.00,44.00,APPROVED
406,FL: MIAMI,03/18/2010 14:06:00,,3140.00,1968.00,609.00,270.00,123.00,125.00,73.00,44.00,APPROVED
406,FL: MIAMI,03/18/2010 14:56:00,,3142.00,1978.00,615.00,270.00,125.00,126.00,74.00,45.00,APPROVED
406,FL: MIAMI,03/18/2010 16:10:00,,3127.00,1950.00,602.00,266.00,125.00,121.00,73.00,46.00,APPROVED
406,FL: MIAMI,03/18/2010 17:11:00,,3117.00,1940.00,605.00,270.00,123.00,122.00,71.00,45.00,APPROVED
406,FL: MIAMI,03/18/2010 18:11:00,,3116.00,1946.00,603.00,271.00,124.00,124.00,75.00,46.00,APPROVED
