MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
905,HI: HONOLULU,01/01/2012 00:36:00,,1212.00,708.00,207.00,108.00,67.00,73.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 01:36:00,,1221.00,708.00,204.00,105.00,66.00,74.00,55.00,34.00,APPROVED
905,HI: HONOLULU,01/01/2012 02:36:00,,1221.00,705.00,208.00,105.00,67.00,76.00,57.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 03:36:00,,1260.00,730.00,210.00,107.00,62.00,75.00,53.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 04:37:00,,1240.00,704.00,208.00,106.00,67.00,74.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/01/2012 05:37:00,,1194.00,690.00,208.00,104.00,65.00,75.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/01/2012 06:37:00,,1204.00,694.00,204.00,104.00,66.00,74.00,53.00,34.00,APPROVED
905,HI: HONOLULU,01/01/2012 07:37:00,,1174.00,683.00,205.00,104.00,65.00,72.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 08:38:00,,1158.00,674.00,200.00,103.00,64.00,74.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/01/2012 09:38:00,,1166.00,675.00,202.00,103.00,64.00,75.00,51.00,36.00,APPROVED
905,HI: HONOLULU,01/01/2012 10:38:00,,1172.00,676.00,205.00,106.00,65.00,74.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 11:38:00,,1190.00,700.00,211.00,108.00,66.00,78.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/01/2012 12:38:00,,1215.00,714.00,207.00,111.00,67.00,79.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/01/2012 13:39:00,,1214.00,722.00,216.00,111.00,68.00,80.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 14:39:00,,1221.00,719.00,214.00,110.00,67.00,79.00,56.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 15:39:00,,1218.00,713.00,211.00,112.00,68.00,80.00,55.00,36.00,APPROVED
905,HI: HONOLULU,01/01/2012 16:39:00,,1218.00,721.00,214.00,110.00,69.00,79.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 17:40:00,,1213.00,715.00,216.00,111.00,66.00,79.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 18:40:00,,1171.00,691.00,209.00,107.00,65.00,77.00,56.00,35.00,APPROVED
905,HI: HONOLULU,01/01/2012 19:40:00,,1156.00,684.00,206.00,108.00,65.00,77.00,55.00,37.00,APPROVED
905,HI: HONOLULU,01/01/2012 20:40:00,,1209.00,705.00,206.00,108.00,64.00,74.00,56.00,34.00,APPROVED
905,HI: HONOLULU,01/01/2012 21:41:00,,1227.00,707.00,206.00,104.00,65.00,74.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/01/2012 22:41:00,,1196.00,694.00,205.00,107.00,66.00,74.00,56.00,34.00,APPROVED
905,HI: HONOLULU,01/01/2012 23:41:00,,1201.00,698.00,205.00,102.00,65.00,74.00,56.00,36.00,APPROVED
905,HI: HONOLULU,01/02/2012 00:41:00,,1176.00,684.00,205.00,104.00,64.00,73.00,55.00,36.00,APPROVED
905,HI: HONOLULU,01/02/2012 01:41:00,,1154.00,676.00,202.00,105.00,64.00,75.00,55.00,36.00,APPROVED
905,HI: HONOLULU,01/02/2012 02:42:00,,1150.00,671.00,201.00,105.00,65.00,75.00,58.00,36.00,APPROVED
905,HI: HONOLULU,01/02/2012 03:42:00,,1185.00,701.00,204.00,106.00,67.00,75.00,55.00,34.00,APPROVED
905,HI: HONOLULU,01/02/2012 04:42:00,,1263.00,724.00,207.00,107.00,65.00,77.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 05:42:00,,1265.00,724.00,208.00,107.00,64.00,77.00,56.00,34.00,APPROVED
905,HI: HONOLULU,01/02/2012 06:43:00,,1190.00,696.00,207.00,107.00,65.00,75.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 07:43:00,,1166.00,690.00,206.00,106.00,64.00,76.00,55.00,34.00,APPROVED
905,HI: HONOLULU,01/02/2012 08:43:00,,1175.00,695.00,209.00,109.00,68.00,78.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 09:43:00,,1191.00,703.00,213.00,112.00,68.00,78.00,55.00,37.00,APPROVED
905,HI: HONOLULU,01/02/2012 10:44:00,,1196.00,710.00,212.00,109.00,68.00,80.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/02/2012 11:44:00,,1199.00,705.00,214.00,110.00,65.00,78.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 12:44:00,,1202.00,719.00,212.00,111.00,67.00,80.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 13:44:00,,1212.00,721.00,217.00,114.00,68.00,79.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 14:45:00,,1207.00,715.00,217.00,112.00,68.00,80.00,57.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 15:45:00,,1212.00,723.00,218.00,111.00,67.00,82.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/02/2012 16:45:00,,1224.00,725.00,217.00,112.00,68.00,80.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/02/2012 17:45:00,,1214.00,725.00,217.00,114.00,69.00,79.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 18:45:00,,1168.00,696.00,214.00,111.00,68.00,79.00,55.00,34.00,APPROVED
905,HI: HONOLULU,01/02/2012 19:46:00,,1176.00,697.00,208.00,111.00,67.00,77.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 20:46:00,,1198.00,703.00,207.00,106.00,65.00,75.00,56.00,37.00,APPROVED
905,HI: HONOLULU,01/02/2012 21:46:00,,1182.00,691.00,206.00,106.00,66.00,76.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/02/2012 22:46:00,,1176.00,687.00,203.00,106.00,64.00,72.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/02/2012 23:47:00,,1160.00,684.00,202.00,105.00,67.00,75.00,56.00,35.00,APPROVED
905,HI: HONOLULU,01/03/2012 00:47:00,,1162.00,682.00,205.00,104.00,64.00,76.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/03/2012 01:47:00,,1172.00,682.00,201.00,106.00,64.00,75.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/03/2012 02:47:00,,1178.00,693.00,204.00,108.00,67.00,74.00,56.00,36.00,APPROVED
905,HI: HONOLULU,01/03/2012 03:48:00,,1225.00,700.00,206.00,106.00,65.00,74.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/03/2012 04:48:00,,1277.00,728.00,212.00,108.00,64.00,76.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/03/2012 05:48:00,,1301.00,732.00,213.00,105.00,67.00,76.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/03/2012 06:48:00,,1284.00,737.00,214.00,107.00,64.00,73.00,55.00,36.00,APPROVED
905,HI: HONOLULU,01/03/2012 07:49:00,,1193.00,698.00,207.00,109.00,67.00,75.00,53.00,35.00,APPROVED
905,HI: HONOLULU,01/03/2012 08:49:00,,1168.00,690.00,209.00,107.00,68.00,77.00,53.00,34.00,APPROVED
905,HI: HONOLULU,01/03/2012 09:49:00,,1173.00,687.00,207.00,109.00,67.00,79.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/03/2012 10:49:00,,1173.00,693.00,211.00,110.00,66.00,80.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/03/2012 11:49:00,,1168.00,700.00,213.00,108.00,67.00,78.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/03/2012 12:50:00,,1181.00,710.00,214.00,109.00,66.00,80.00,55.00,36.00,APPROVED
905,HI: HONOLULU,01/03/2012 13:50:00,,1186.00,710.00,212.00,114.00,67.00,82.00,58.00,34.00,APPROVED
905,HI: HONOLULU,01/03/2012 14:50:00,,1194.00,713.00,216.00,112.00,67.00,78.00,57.00,36.00,APPROVED
905,HI: HONOLULU,01/03/2012 15:50:00,,1214.00,731.00,217.00,112.00,69.00,82.00,56.00,34.00,APPROVED
905,HI: HONOLULU,01/03/2012 16:51:00,,1205.00,713.00,215.00,112.00,68.00,81.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/03/2012 17:51:00,,1208.00,709.00,213.00,112.00,64.00,78.00,53.00,34.00,APPROVED
905,HI: HONOLULU,01/03/2012 18:24:00,,1190.00,677.00,206.00,106.00,66.00,75.00,55.00,36.00,APPROVED
905,HI: HONOLULU,01/03/2012 19:38:00,,1127.00,660.00,201.00,101.00,64.00,73.00,55.00,33.00,APPROVED
905,HI: HONOLULU,01/03/2012 20:38:00,,1162.00,684.00,202.00,102.00,67.00,75.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/03/2012 21:39:00,,1186.00,676.00,204.00,105.00,62.00,75.00,53.00,34.00,APPROVED
905,HI: HONOLULU,01/03/2012 22:39:00,,1149.00,670.00,202.00,104.00,65.00,73.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/03/2012 23:39:00,,1165.00,670.00,201.00,103.00,66.00,75.00,55.00,36.00,APPROVED
905,HI: HONOLULU,01/04/2012 00:39:00,,1157.00,668.00,199.00,106.00,65.00,76.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 01:40:00,,1130.00,664.00,199.00,105.00,66.00,75.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 02:40:00,,1162.00,674.00,197.00,105.00,64.00,76.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/04/2012 03:40:00,,1231.00,705.00,207.00,105.00,66.00,77.00,55.00,34.00,APPROVED
905,HI: HONOLULU,01/04/2012 04:40:00,,1265.00,713.00,209.00,108.00,65.00,77.00,53.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 05:41:00,,1279.00,718.00,210.00,107.00,65.00,73.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 06:41:00,,1288.00,728.00,210.00,108.00,66.00,75.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 07:41:00,,1260.00,721.00,210.00,107.00,68.00,76.00,55.00,34.00,APPROVED
905,HI: HONOLULU,01/04/2012 08:41:00,,1172.00,682.00,199.00,103.00,64.00,73.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 09:41:00,,1141.00,664.00,202.00,101.00,64.00,74.00,55.00,33.00,APPROVED
905,HI: HONOLULU,01/04/2012 10:42:00,,1142.00,657.00,201.00,104.00,64.00,74.00,55.00,34.00,APPROVED
905,HI: HONOLULU,01/04/2012 11:42:00,,1140.00,664.00,200.00,101.00,64.00,75.00,53.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 12:42:00,,1144.00,666.00,200.00,101.00,65.00,74.00,54.00,33.00,APPROVED
905,HI: HONOLULU,01/04/2012 13:42:00,,1147.00,660.00,198.00,103.00,63.00,75.00,53.00,34.00,APPROVED
905,HI: HONOLULU,01/04/2012 14:43:00,,1149.00,673.00,203.00,104.00,64.00,77.00,54.00,37.00,APPROVED
905,HI: HONOLULU,01/04/2012 15:43:00,,1155.00,674.00,205.00,107.00,66.00,77.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 16:43:00,,1149.00,676.00,201.00,104.00,65.00,76.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/04/2012 17:43:00,,1138.00,666.00,204.00,103.00,64.00,72.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 18:44:00,,1109.00,646.00,197.00,102.00,66.00,73.00,52.00,34.00,APPROVED
905,HI: HONOLULU,01/04/2012 19:44:00,,1115.00,652.00,200.00,99.00,64.00,74.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/04/2012 20:44:00,,1217.00,698.00,202.00,105.00,66.00,72.00,55.00,34.00,APPROVED
905,HI: HONOLULU,01/04/2012 21:44:00,,1244.00,695.00,206.00,105.00,66.00,73.00,52.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 22:44:00,,1241.00,697.00,203.00,104.00,65.00,75.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/04/2012 23:45:00,,1208.00,691.00,206.00,106.00,66.00,75.00,56.00,36.00,APPROVED
905,HI: HONOLULU,01/05/2012 00:45:00,,1336.00,690.00,205.00,102.00,64.00,74.00,55.00,36.00,APPROVED
905,HI: HONOLULU,01/05/2012 01:45:00,,1213.00,688.00,204.00,107.00,67.00,74.00,55.00,34.00,APPROVED
905,HI: HONOLULU,01/05/2012 02:45:00,,1232.00,703.00,207.00,106.00,65.00,73.00,56.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 03:46:00,,1258.00,712.00,204.00,107.00,66.00,75.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/05/2012 04:46:00,,1284.00,714.00,212.00,108.00,66.00,74.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 05:46:00,,1313.00,728.00,208.00,109.00,67.00,74.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 06:46:00,,1305.00,730.00,213.00,109.00,66.00,75.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 07:47:00,,1290.00,734.00,210.00,106.00,65.00,75.00,53.00,34.00,APPROVED
905,HI: HONOLULU,01/05/2012 08:47:00,,1302.00,731.00,209.00,106.00,66.00,73.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/05/2012 09:47:00,,1228.00,697.00,206.00,108.00,65.00,75.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/05/2012 10:47:00,,1165.00,672.00,200.00,103.00,66.00,74.00,53.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 11:48:00,,1147.00,663.00,203.00,103.00,64.00,72.00,53.00,34.00,APPROVED
905,HI: HONOLULU,01/05/2012 12:48:00,,1139.00,665.00,209.00,103.00,64.00,73.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/05/2012 13:48:00,,1147.00,660.00,200.00,100.00,63.00,73.00,52.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 14:48:00,,1128.00,661.00,196.00,101.00,64.00,73.00,53.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 15:48:00,,1135.00,660.00,199.00,103.00,64.00,74.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 16:49:00,,1139.00,667.00,199.00,100.00,62.00,74.00,53.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 17:49:00,,1156.00,667.00,209.00,103.00,65.00,72.00,51.00,34.00,APPROVED
905,HI: HONOLULU,01/05/2012 18:49:00,,1112.00,642.00,201.00,101.00,63.00,71.00,54.00,34.00,APPROVED
905,HI: HONOLULU,01/05/2012 19:49:00,,1080.00,625.00,194.00,101.00,64.00,74.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/05/2012 20:50:00,,1081.00,625.00,199.00,97.00,62.00,74.00,52.00,34.00,APPROVED
905,HI: HONOLULU,01/05/2012 21:50:00,,1097.00,640.00,205.00,98.00,62.00,73.00,54.00,36.00,APPROVED
905,HI: HONOLULU,01/05/2012 22:50:00,,1045.00,605.00,196.00,99.00,61.00,74.00,55.00,33.00,APPROVED
905,HI: HONOLULU,01/05/2012 23:50:00,,1034.00,603.00,193.00,96.00,62.00,74.00,54.00,33.00,APPROVED
905,HI: HONOLULU,01/06/2012 00:51:00,,1036.00,607.00,190.00,101.00,63.00,73.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/06/2012 01:50:00,,1045.00,608.00,193.00,98.00,62.00,73.00,56.00,34.00,APPROVED
905,HI: HONOLULU,01/06/2012 02:50:00,,1031.00,606.00,191.00,98.00,63.00,75.00,53.00,33.00,APPROVED
905,HI: HONOLULU,01/06/2012 03:50:00,,1049.00,616.00,193.00,99.00,64.00,72.00,55.00,35.00,APPROVED
905,HI: HONOLULU,01/06/2012 04:50:00,,1093.00,635.00,198.00,100.00,62.00,74.00,54.00,35.00,APPROVED
905,HI: HONOLULU,01/06/2012 05:51:00,,1130.00,661.00,201.00,102.00,65.00,74.00,53.00,34.00,APPROVED
905,HI: HONOLULU,01/06/2012 06:51:00,,1142.00,665.00,200.00,100.00,62.00,73.00,53.00,35.00,APPROVED
905,HI: HONOLULU,01/06/2012 07:51:00,,1153.00,660.00,200.00,104.00,64.00,75.00,54.00,34.00,APPROVED
