MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
533,MN: DULUTH,01/01/2012 00:42:00,,1859.00,1206.00,324.00,202.00,101.00,129.00,75.00,28.00,APPROVED
533,MN: DULUTH,01/01/2012 01:43:00,,1732.00,1091.00,295.00,177.00,95.00,117.00,69.00,25.00,APPROVED
533,MN: DULUTH,01/01/2012 02:43:00,,1772.00,1120.00,294.00,182.00,96.00,121.00,71.00,27.00,APPROVED
533,MN: DULUTH,01/01/2012 03:43:00,,2114.00,1471.00,380.00,246.00,118.00,156.00,86.00,34.00,APPROVED
533,MN: DULUTH,01/01/2012 04:43:00,,2168.00,1495.00,395.00,258.00,124.00,161.00,90.00,35.00,APPROVED
533,MN: DULUTH,01/01/2012 05:43:00,,1963.00,1299.00,351.00,222.00,111.00,143.00,80.00,32.00,APPROVED
533,MN: DULUTH,01/01/2012 06:44:00,,1775.00,1122.00,303.00,185.00,97.00,120.00,71.00,27.00,APPROVED
533,MN: DULUTH,01/01/2012 07:44:00,,1755.00,1120.00,298.00,185.00,96.00,120.00,73.00,27.00,APPROVED
533,MN: DULUTH,01/01/2012 08:44:00,,1709.00,1078.00,287.00,177.00,90.00,118.00,69.00,27.00,APPROVED
533,MN: DULUTH,01/01/2012 09:44:00,,1651.00,1012.00,276.00,162.00,88.00,111.00,64.00,25.00,APPROVED
533,MN: DULUTH,01/01/2012 10:45:00,,1614.00,976.00,267.00,152.00,83.00,104.00,61.00,24.00,APPROVED
533,MN: DULUTH,01/01/2012 11:45:00,,1576.00,947.00,257.00,140.00,79.00,100.00,59.00,22.00,APPROVED
533,MN: DULUTH,01/01/2012 12:45:00,,1577.00,943.00,254.00,137.00,80.00,97.00,59.00,22.00,APPROVED
533,MN: DULUTH,01/01/2012 13:45:00,,1587.00,945.00,255.00,140.00,79.00,98.00,58.00,21.00,APPROVED
533,MN: DULUTH,01/01/2012 14:45:00,,1589.00,944.00,257.00,139.00,81.00,100.00,60.00,22.00,APPROVED
533,MN: DULUTH,01/01/2012 15:46:00,,1588.00,935.00,256.00,138.00,79.00,97.00,60.00,21.00,APPROVED
533,MN: DULUTH,01/01/2012 16:46:00,,1590.00,947.00,253.00,139.00,80.00,100.00,58.00,22.00,APPROVED
533,MN: DULUTH,01/01/2012 17:46:00,,1645.00,990.00,267.00,150.00,83.00,103.00,64.00,23.00,APPROVED
533,MN: DULUTH,01/01/2012 18:46:00,,1630.00,994.00,270.00,154.00,85.00,103.00,63.00,22.00,APPROVED
533,MN: DULUTH,01/01/2012 19:47:00,,1624.00,987.00,267.00,147.00,83.00,103.00,62.00,23.00,APPROVED
533,MN: DULUTH,01/01/2012 20:47:00,,1629.00,988.00,267.00,149.00,82.00,104.00,62.00,23.00,APPROVED
533,MN: DULUTH,01/01/2012 21:47:00,,1622.00,979.00,269.00,146.00,85.00,105.00,61.00,22.00,APPROVED
533,MN: DULUTH,01/01/2012 22:47:00,,1624.00,990.00,267.00,152.00,84.00,104.00,60.00,22.00,APPROVED
533,MN: DULUTH,01/01/2012 23:48:00,,1618.00,978.00,270.00,148.00,83.00,105.00,62.00,24.00,APPROVED
533,MN: DULUTH,01/02/2012 00:48:00,,1598.00,961.00,266.00,145.00,84.00,106.00,61.00,22.00,APPROVED
533,MN: DULUTH,01/02/2012 01:48:00,,1575.00,947.00,264.00,139.00,84.00,102.00,61.00,22.00,APPROVED
533,MN: DULUTH,01/02/2012 02:48:00,,1552.00,931.00,261.00,138.00,83.00,101.00,57.00,22.00,APPROVED
533,MN: DULUTH,01/02/2012 03:48:00,,1526.00,908.00,253.00,137.00,81.00,100.00,54.00,20.00,APPROVED
533,MN: DULUTH,01/02/2012 04:49:00,,1514.00,878.00,251.00,132.00,77.00,96.00,54.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 05:49:00,,1500.00,870.00,244.00,124.00,76.00,93.00,55.00,20.00,APPROVED
533,MN: DULUTH,01/02/2012 06:49:00,,1502.00,868.00,243.00,124.00,74.00,92.00,54.00,20.00,APPROVED
533,MN: DULUTH,01/02/2012 07:49:00,,1501.00,863.00,241.00,124.00,78.00,93.00,52.00,20.00,APPROVED
533,MN: DULUTH,01/02/2012 08:50:00,,1490.00,859.00,242.00,121.00,73.00,92.00,52.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 09:50:00,,1504.00,866.00,241.00,123.00,76.00,94.00,54.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 10:50:00,,1499.00,863.00,242.00,125.00,76.00,93.00,53.00,20.00,APPROVED
533,MN: DULUTH,01/02/2012 11:50:00,,1495.00,853.00,240.00,125.00,77.00,96.00,53.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 12:51:00,,1494.00,861.00,246.00,122.00,74.00,92.00,51.00,21.00,APPROVED
533,MN: DULUTH,01/02/2012 13:51:00,,1494.00,859.00,242.00,122.00,76.00,90.00,52.00,20.00,APPROVED
533,MN: DULUTH,01/02/2012 14:51:00,,1495.00,852.00,241.00,122.00,75.00,91.00,51.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 15:51:00,,1504.00,853.00,244.00,122.00,76.00,94.00,50.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 16:51:00,,1486.00,847.00,243.00,119.00,75.00,95.00,49.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 17:52:00,,1473.00,840.00,241.00,120.00,72.00,92.00,49.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 18:52:00,,1480.00,841.00,242.00,119.00,75.00,93.00,50.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 19:52:00,,1483.00,836.00,241.00,118.00,73.00,92.00,51.00,18.00,APPROVED
533,MN: DULUTH,01/02/2012 20:52:00,,1478.00,841.00,239.00,120.00,74.00,93.00,51.00,19.00,APPROVED
533,MN: DULUTH,01/02/2012 21:53:00,,1477.00,836.00,238.00,119.00,74.00,91.00,49.00,20.00,APPROVED
533,MN: DULUTH,01/02/2012 22:53:00,,1467.00,832.00,237.00,119.00,74.00,90.00,51.00,20.00,APPROVED
533,MN: DULUTH,01/02/2012 23:53:00,,1477.00,828.00,236.00,118.00,73.00,93.00,49.00,19.00,APPROVED
533,MN: DULUTH,01/03/2012 00:53:00,,1464.00,824.00,235.00,116.00,73.00,92.00,48.00,19.00,APPROVED
533,MN: DULUTH,01/03/2012 01:53:00,,1468.00,825.00,240.00,114.00,71.00,95.00,47.00,19.00,APPROVED
533,MN: DULUTH,01/03/2012 02:54:00,,1461.00,809.00,234.00,114.00,72.00,92.00,46.00,18.00,APPROVED
533,MN: DULUTH,01/03/2012 03:54:00,,1473.00,827.00,237.00,117.00,73.00,94.00,44.00,20.00,APPROVED
533,MN: DULUTH,01/03/2012 04:54:00,,1474.00,835.00,247.00,114.00,75.00,98.00,43.00,23.00,APPROVED
533,MN: DULUTH,01/03/2012 05:54:00,,1487.00,847.00,258.00,116.00,76.00,105.00,41.00,23.00,APPROVED
533,MN: DULUTH,01/03/2012 06:55:00,,1493.00,872.00,262.00,124.00,77.00,111.00,43.00,25.00,APPROVED
533,MN: DULUTH,01/03/2012 07:55:00,,1480.00,841.00,258.00,118.00,77.00,104.00,41.00,23.00,APPROVED
533,MN: DULUTH,01/03/2012 08:55:00,,1480.00,838.00,248.00,115.00,76.00,101.00,43.00,22.00,APPROVED
533,MN: DULUTH,01/03/2012 09:55:00,,1480.00,843.00,255.00,118.00,78.00,104.00,44.00,23.00,APPROVED
533,MN: DULUTH,01/03/2012 10:55:00,,1498.00,854.00,257.00,118.00,75.00,107.00,42.00,24.00,APPROVED
533,MN: DULUTH,01/03/2012 11:56:00,,1497.00,872.00,266.00,120.00,79.00,110.00,42.00,24.00,APPROVED
533,MN: DULUTH,01/03/2012 12:56:00,,1514.00,894.00,276.00,124.00,81.00,115.00,43.00,25.00,APPROVED
533,MN: DULUTH,01/03/2012 13:56:00,,1515.00,891.00,269.00,122.00,79.00,112.00,44.00,24.00,APPROVED
533,MN: DULUTH,01/03/2012 14:56:00,,1493.00,854.00,257.00,121.00,75.00,103.00,44.00,22.00,APPROVED
533,MN: DULUTH,01/03/2012 15:57:00,,1494.00,828.00,243.00,117.00,72.00,96.00,48.00,19.00,APPROVED
533,MN: DULUTH,01/03/2012 16:57:00,,1495.00,844.00,241.00,117.00,73.00,93.00,48.00,19.00,APPROVED
533,MN: DULUTH,01/03/2012 17:57:00,,1521.00,853.00,243.00,121.00,76.00,93.00,50.00,19.00,APPROVED
533,MN: DULUTH,01/03/2012 18:57:00,,1534.00,874.00,246.00,123.00,77.00,93.00,52.00,20.00,APPROVED
533,MN: DULUTH,01/03/2012 19:58:00,,1519.00,880.00,245.00,122.00,77.00,94.00,52.00,20.00,APPROVED
533,MN: DULUTH,01/03/2012 20:58:00,,1541.00,878.00,242.00,129.00,78.00,92.00,53.00,20.00,APPROVED
533,MN: DULUTH,01/03/2012 21:58:00,,1569.00,917.00,254.00,134.00,78.00,94.00,56.00,21.00,APPROVED
533,MN: DULUTH,01/03/2012 22:58:00,,1583.00,931.00,254.00,135.00,79.00,97.00,58.00,22.00,APPROVED
533,MN: DULUTH,01/03/2012 23:58:00,,1588.00,932.00,258.00,137.00,80.00,98.00,57.00,22.00,APPROVED
533,MN: DULUTH,01/04/2012 00:59:00,,1589.00,938.00,260.00,135.00,81.00,97.00,58.00,20.00,APPROVED
533,MN: DULUTH,01/04/2012 01:59:00,,1598.00,942.00,257.00,136.00,79.00,98.00,57.00,20.00,APPROVED
533,MN: DULUTH,01/04/2012 02:59:00,,1623.00,958.00,267.00,141.00,81.00,100.00,59.00,22.00,APPROVED
533,MN: DULUTH,01/04/2012 03:59:00,,1648.00,980.00,269.00,143.00,82.00,104.00,59.00,22.00,APPROVED
533,MN: DULUTH,01/04/2012 05:00:00,,1677.00,993.00,272.00,146.00,82.00,105.00,60.00,22.00,APPROVED
533,MN: DULUTH,01/04/2012 07:00:00,,1685.00,1009.00,276.00,154.00,87.00,107.00,62.00,23.00,APPROVED
533,MN: DULUTH,01/04/2012 08:00:00,,1690.00,1015.00,280.00,147.00,87.00,110.00,62.00,22.00,APPROVED
533,MN: DULUTH,01/04/2012 09:01:00,,1689.00,1015.00,278.00,153.00,85.00,107.00,63.00,23.00,APPROVED
533,MN: DULUTH,01/04/2012 10:01:00,,1674.00,1025.00,280.00,155.00,89.00,111.00,64.00,23.00,APPROVED
533,MN: DULUTH,01/04/2012 11:01:00,,1679.00,1032.00,282.00,158.00,88.00,106.00,64.00,24.00,APPROVED
533,MN: DULUTH,01/04/2012 12:01:00,,1670.00,1019.00,279.00,157.00,87.00,107.00,64.00,23.00,APPROVED
533,MN: DULUTH,01/04/2012 13:01:00,,1671.00,1025.00,279.00,154.00,86.00,108.00,62.00,23.00,APPROVED
533,MN: DULUTH,01/04/2012 14:02:00,,1657.00,1006.00,277.00,153.00,86.00,108.00,63.00,22.00,APPROVED
533,MN: DULUTH,01/04/2012 15:02:00,,1651.00,1005.00,278.00,152.00,88.00,110.00,64.00,22.00,APPROVED
533,MN: DULUTH,01/04/2012 16:02:00,,1629.00,992.00,281.00,152.00,85.00,109.00,62.00,23.00,APPROVED
533,MN: DULUTH,01/04/2012 17:21:00,,1571.00,929.00,254.00,131.00,78.00,97.00,56.00,21.00,APPROVED
533,MN: DULUTH,01/04/2012 18:21:00,,1607.00,954.00,261.00,139.00,81.00,100.00,58.00,22.00,APPROVED
533,MN: DULUTH,01/04/2012 19:22:00,,1633.00,971.00,259.00,145.00,83.00,102.00,61.00,23.00,APPROVED
533,MN: DULUTH,01/04/2012 20:22:00,,1641.00,987.00,265.00,146.00,84.00,102.00,60.00,22.00,APPROVED
533,MN: DULUTH,01/04/2012 21:23:00,,1642.00,995.00,261.00,147.00,82.00,104.00,63.00,24.00,APPROVED
533,MN: DULUTH,01/04/2012 22:23:00,,1651.00,993.00,263.00,147.00,83.00,101.00,61.00,23.00,APPROVED
533,MN: DULUTH,01/04/2012 23:23:00,,1648.00,997.00,266.00,151.00,83.00,102.00,62.00,23.00,APPROVED
533,MN: DULUTH,01/05/2012 00:24:00,,1654.00,1008.00,271.00,152.00,84.00,107.00,60.00,22.00,APPROVED
