MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
204,NY: NEW YORK CITY,01/04/2009 06:19:00,,6576.00,1340.00,161.00,58.00,121.00,84.00,42.00,23.00,APPROVED
204,NY: NEW YORK CITY,06/17/2009 18:22:00,,2164.00,300.00,154.00,148.00,209.00,136.00,19.00,25.00,APPROVED
204,NY: NEW YORK CITY,06/17/2009 19:22:00,,2193.00,302.00,152.00,151.00,206.00,136.00,19.00,25.00,APPROVED
204,NY: NEW YORK CITY,06/17/2009 20:22:00,,2229.00,306.00,154.00,153.00,211.00,139.00,19.00,26.00,APPROVED
204,NY: NEW YORK CITY,06/17/2009 20:44:00,,2292.00,303.00,154.00,155.00,211.00,135.00,19.00,26.00,APPROVED
204,NY: NEW YORK CITY,06/17/2009 22:02:00,,1680.00,993.00,329.00,160.00,111.00,124.00,84.00,34.00,APPROVED
204,NY: NEW YORK CITY,06/17/2009 23:03:00,,1709.00,1001.00,332.00,163.00,113.00,126.00,83.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 00:03:00,,1743.00,1022.00,332.00,163.00,113.00,123.00,82.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 01:03:00,,1745.00,1020.00,333.00,161.00,113.00,125.00,83.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 02:03:00,,1732.00,1016.00,331.00,163.00,112.00,124.00,81.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 03:03:00,,1741.00,1020.00,332.00,161.00,114.00,126.00,83.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 04:04:00,,1767.00,1024.00,336.00,165.00,113.00,125.00,83.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 05:04:00,,1779.00,1049.00,339.00,166.00,117.00,130.00,82.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 06:04:00,,1869.00,1128.00,368.00,181.00,120.00,137.00,88.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 07:04:00,,1931.00,1191.00,392.00,192.00,127.00,147.00,91.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 08:04:00,,1835.00,1098.00,361.00,177.00,121.00,136.00,85.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 09:04:00,,1808.00,1071.00,347.00,171.00,116.00,133.00,87.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 10:05:00,,1808.00,1073.00,351.00,171.00,116.00,132.00,85.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 11:05:00,,1826.00,1112.00,363.00,174.00,122.00,136.00,87.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 12:05:00,,1900.00,1163.00,382.00,185.00,123.00,142.00,90.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 13:05:00,,1876.00,1134.00,375.00,186.00,120.00,139.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 14:05:00,,1955.00,1219.00,396.00,197.00,126.00,152.00,95.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 15:06:00,,2028.00,1296.00,416.00,213.00,132.00,159.00,97.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 16:06:00,,1984.00,1242.00,405.00,200.00,131.00,154.00,97.00,40.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 17:06:00,,1984.00,1266.00,411.00,207.00,132.00,158.00,98.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 18:06:00,,2032.00,1290.00,426.00,214.00,134.00,162.00,97.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 19:06:00,,1985.00,1237.00,405.00,201.00,131.00,153.00,97.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 20:07:00,,1939.00,1192.00,392.00,194.00,123.00,148.00,94.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 21:07:00,,1880.00,1134.00,371.00,182.00,124.00,139.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 22:07:00,,1837.00,1111.00,363.00,179.00,122.00,138.00,87.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/18/2009 23:07:00,,1755.00,1046.00,346.00,167.00,114.00,130.00,84.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 00:07:00,,1725.00,1016.00,335.00,165.00,111.00,125.00,82.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 01:08:00,,1760.00,1051.00,345.00,169.00,116.00,130.00,88.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 02:08:00,,1749.00,1037.00,350.00,170.00,116.00,129.00,87.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 03:08:00,,1710.00,1013.00,337.00,167.00,113.00,128.00,86.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 04:08:00,,1710.00,1012.00,338.00,164.00,112.00,127.00,84.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 05:08:00,,1697.00,1009.00,338.00,166.00,116.00,126.00,84.00,34.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 06:09:00,,1698.00,1017.00,338.00,166.00,115.00,128.00,86.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 07:09:00,,1691.00,1016.00,339.00,165.00,116.00,131.00,87.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 08:09:00,,1711.00,1028.00,338.00,168.00,116.00,128.00,84.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 09:09:00,,1717.00,1030.00,342.00,168.00,116.00,132.00,85.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 10:09:00,,1728.00,1042.00,346.00,169.00,115.00,129.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 11:10:00,,1733.00,1045.00,346.00,171.00,117.00,132.00,87.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 12:10:00,,1730.00,1044.00,352.00,173.00,116.00,132.00,85.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 13:10:00,,1691.00,1021.00,350.00,170.00,120.00,134.00,91.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 14:10:00,,1646.00,989.00,342.00,172.00,116.00,131.00,91.00,34.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 15:10:00,,1608.00,973.00,342.00,168.00,117.00,127.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 16:11:00,,1800.00,1092.00,351.00,184.00,119.00,130.00,93.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 17:11:00,,1894.00,1152.00,357.00,188.00,121.00,134.00,94.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 18:11:00,,1903.00,1161.00,357.00,187.00,118.00,133.00,91.00,40.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 19:11:00,,1920.00,1160.00,359.00,192.00,122.00,137.00,94.00,40.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 20:11:00,,1879.00,1147.00,358.00,190.00,124.00,138.00,95.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 21:12:00,,1861.00,1145.00,361.00,191.00,122.00,138.00,94.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 22:12:00,,1851.00,1126.00,356.00,190.00,121.00,137.00,91.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/19/2009 23:12:00,,1865.00,1134.00,350.00,187.00,123.00,135.00,93.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 00:12:00,,1889.00,1139.00,355.00,190.00,120.00,135.00,91.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 01:12:00,,1938.00,1170.00,359.00,191.00,119.00,135.00,93.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 02:13:00,,1965.00,1176.00,357.00,188.00,121.00,134.00,91.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 03:13:00,,1984.00,1189.00,356.00,190.00,119.00,133.00,91.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 04:13:00,,1834.00,1120.00,352.00,179.00,121.00,131.00,93.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 05:13:00,,1731.00,1046.00,345.00,173.00,116.00,129.00,90.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 06:13:00,,1724.00,1045.00,346.00,173.00,116.00,131.00,87.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 07:14:00,,1735.00,1045.00,352.00,173.00,118.00,132.00,90.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 08:14:00,,1749.00,1056.00,348.00,175.00,119.00,130.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 09:14:00,,1763.00,1059.00,346.00,173.00,115.00,131.00,90.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 10:14:00,,1757.00,1077.00,349.00,174.00,118.00,132.00,88.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 11:14:00,,1734.00,1048.00,351.00,170.00,118.00,131.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 12:15:00,,1706.00,1025.00,346.00,170.00,117.00,132.00,87.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 13:15:00,,1687.00,1017.00,343.00,170.00,115.00,133.00,89.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 14:15:00,,1649.00,989.00,344.00,165.00,115.00,127.00,91.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 15:15:00,,1647.00,993.00,350.00,167.00,120.00,131.00,91.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 16:15:00,,1767.00,1113.00,379.00,191.00,126.00,145.00,96.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 17:16:00,,1845.00,1160.00,393.00,201.00,129.00,152.00,101.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 18:16:00,,1857.00,1163.00,392.00,196.00,128.00,152.00,98.00,40.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 19:16:00,,1942.00,1241.00,412.00,209.00,135.00,161.00,102.00,40.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 20:16:00,,1813.00,1122.00,377.00,186.00,125.00,144.00,97.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 21:16:00,,1746.00,1058.00,358.00,176.00,121.00,134.00,88.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 22:17:00,,1809.00,1119.00,373.00,187.00,124.00,142.00,95.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/20/2009 23:17:00,,1886.00,1184.00,400.00,201.00,132.00,151.00,98.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 00:17:00,,1864.00,1157.00,391.00,193.00,129.00,151.00,97.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 01:18:00,,1787.00,1091.00,368.00,180.00,120.00,141.00,94.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 02:18:00,,1822.00,1134.00,380.00,191.00,125.00,147.00,96.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 03:19:00,,1817.00,1133.00,384.00,191.00,127.00,147.00,98.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 04:19:00,,1824.00,1132.00,374.00,191.00,125.00,143.00,95.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 05:19:00,,1825.00,1127.00,372.00,185.00,122.00,144.00,92.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 06:19:00,,1841.00,1141.00,377.00,191.00,125.00,145.00,93.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 07:19:00,,1900.00,1178.00,387.00,193.00,129.00,147.00,93.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 08:19:00,,2044.00,1321.00,434.00,218.00,137.00,165.00,102.00,40.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 09:20:00,,2045.00,1318.00,435.00,216.00,138.00,165.00,104.00,41.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 10:20:00,,2076.00,1355.00,444.00,219.00,143.00,172.00,104.00,40.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 11:20:00,,2044.00,1315.00,441.00,224.00,138.00,169.00,102.00,41.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 12:20:00,,1867.00,1151.00,385.00,193.00,125.00,146.00,93.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 13:20:00,,1755.00,1074.00,357.00,175.00,121.00,136.00,92.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 14:21:00,,1757.00,1064.00,362.00,174.00,121.00,136.00,92.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 15:21:00,,1727.00,1061.00,355.00,174.00,118.00,136.00,91.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 16:21:00,,1667.00,1017.00,348.00,171.00,118.00,132.00,91.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 17:21:00,,1650.00,1004.00,348.00,173.00,119.00,133.00,90.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 18:21:00,,1811.00,1109.00,351.00,183.00,120.00,137.00,92.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 19:22:00,,1815.00,1103.00,349.00,184.00,120.00,132.00,91.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 20:22:00,,1820.00,1109.00,348.00,185.00,121.00,132.00,94.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 21:22:00,,1900.00,1157.00,362.00,192.00,121.00,139.00,93.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 22:22:00,,1945.00,1193.00,365.00,196.00,124.00,140.00,96.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/21/2009 23:22:00,,1935.00,1164.00,357.00,189.00,121.00,133.00,93.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 00:23:00,,1977.00,1206.00,376.00,199.00,125.00,141.00,94.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 01:23:00,,1968.00,1253.00,399.00,206.00,130.00,150.00,101.00,40.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 02:23:00,,1812.00,1102.00,367.00,187.00,122.00,137.00,94.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 03:23:00,,1713.00,1039.00,346.00,173.00,118.00,133.00,89.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 04:23:00,,1692.00,1017.00,340.00,170.00,117.00,128.00,89.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 05:24:00,,1687.00,1019.00,343.00,169.00,114.00,129.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 06:24:00,,1709.00,1025.00,343.00,170.00,115.00,130.00,87.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 07:24:00,,1701.00,1013.00,338.00,167.00,117.00,127.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 08:24:00,,1689.00,1006.00,338.00,164.00,115.00,128.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 09:24:00,,1686.00,1020.00,342.00,170.00,115.00,128.00,89.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 10:25:00,,1689.00,1017.00,339.00,169.00,117.00,127.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 11:25:00,,1682.00,1009.00,339.00,169.00,113.00,128.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 12:25:00,,1684.00,1008.00,339.00,169.00,116.00,130.00,85.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 13:25:00,,1639.00,987.00,337.00,161.00,116.00,128.00,87.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 14:25:00,,1592.00,957.00,330.00,164.00,115.00,127.00,91.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 15:26:00,,1583.00,943.00,329.00,165.00,116.00,127.00,90.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 16:26:00,,1581.00,945.00,333.00,161.00,113.00,128.00,89.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 17:26:00,,1569.00,944.00,332.00,161.00,113.00,128.00,88.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 18:26:00,,1577.00,942.00,328.00,161.00,115.00,128.00,87.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 19:26:00,,1743.00,1045.00,338.00,171.00,116.00,129.00,91.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 20:27:00,,1817.00,1090.00,348.00,180.00,120.00,130.00,91.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 21:27:00,,1856.00,1103.00,349.00,179.00,117.00,130.00,91.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 22:27:00,,1864.00,1113.00,352.00,178.00,119.00,128.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/22/2009 23:27:00,,1933.00,1159.00,358.00,189.00,123.00,136.00,92.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 00:27:00,,1781.00,1077.00,347.00,175.00,118.00,132.00,89.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 01:28:00,,1714.00,1028.00,346.00,172.00,115.00,128.00,92.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 02:28:00,,1731.00,1040.00,347.00,173.00,116.00,131.00,91.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 03:28:00,,1729.00,1032.00,342.00,167.00,115.00,125.00,90.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 04:28:00,,1731.00,1028.00,342.00,168.00,113.00,129.00,87.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 05:28:00,,1725.00,1023.00,343.00,166.00,115.00,125.00,87.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 06:29:00,,1711.00,1023.00,340.00,166.00,115.00,126.00,88.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 07:29:00,,1717.00,1028.00,341.00,167.00,113.00,127.00,87.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 08:29:00,,1734.00,1023.00,341.00,168.00,115.00,125.00,87.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 08:55:00,,1583.00,941.00,324.00,160.00,113.00,124.00,88.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 09:29:00,,1723.00,1025.00,341.00,170.00,115.00,129.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 09:55:00,,1679.00,999.00,332.00,168.00,115.00,125.00,88.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 10:29:00,,1711.00,1021.00,346.00,167.00,115.00,126.00,87.00,34.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 10:56:00,,1761.00,1057.00,342.00,174.00,116.00,127.00,90.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 11:30:00,,1697.00,1015.00,339.00,165.00,116.00,127.00,85.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 11:56:00,,1769.00,1061.00,341.00,174.00,117.00,125.00,90.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 12:30:00,,1687.00,1005.00,336.00,165.00,114.00,127.00,87.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 12:56:00,,1730.00,1052.00,336.00,175.00,117.00,128.00,90.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 13:30:00,,1674.00,1003.00,342.00,163.00,114.00,127.00,88.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 13:56:00,,1697.00,1027.00,337.00,173.00,115.00,131.00,93.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 14:30:00,,1634.00,986.00,332.00,166.00,114.00,127.00,87.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 14:41:00,,1603.00,947.00,337.00,165.00,118.00,132.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 14:56:00,,1705.00,1034.00,340.00,176.00,117.00,129.00,92.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 15:57:00,,1727.00,1047.00,334.00,172.00,115.00,129.00,90.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 16:57:00,,1782.00,1065.00,340.00,176.00,117.00,128.00,88.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 17:57:00,,1864.00,1109.00,348.00,179.00,118.00,132.00,91.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 18:57:00,,1759.00,1058.00,339.00,174.00,118.00,127.00,91.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 19:57:00,,1717.00,1031.00,340.00,172.00,119.00,128.00,89.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 20:58:00,,1732.00,1038.00,339.00,169.00,113.00,126.00,87.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 21:58:00,,1735.00,1024.00,340.00,168.00,116.00,126.00,86.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 22:58:00,,1738.00,1045.00,341.00,168.00,117.00,128.00,89.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/23/2009 23:58:00,,1751.00,1061.00,352.00,173.00,116.00,130.00,89.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 00:58:00,,1783.00,1068.00,347.00,173.00,121.00,133.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 01:59:00,,1763.00,1060.00,350.00,172.00,117.00,131.00,88.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 02:59:00,,1744.00,1039.00,343.00,168.00,117.00,128.00,87.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 03:59:00,,1748.00,1045.00,337.00,171.00,113.00,127.00,87.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 04:59:00,,1723.00,1027.00,340.00,168.00,116.00,130.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 05:59:00,,1694.00,1015.00,341.00,168.00,114.00,127.00,91.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 06:59:00,,1644.00,992.00,334.00,165.00,117.00,126.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 08:00:00,,1598.00,952.00,331.00,165.00,112.00,127.00,91.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 09:00:00,,1579.00,955.00,334.00,164.00,113.00,127.00,88.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 10:00:00,,1763.00,1057.00,348.00,178.00,118.00,133.00,93.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 11:00:00,,1853.00,1122.00,357.00,186.00,119.00,134.00,92.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 12:00:00,,1972.00,1216.00,375.00,199.00,125.00,141.00,94.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 13:01:00,,1883.00,1141.00,358.00,188.00,121.00,136.00,91.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 14:01:00,,1952.00,1213.00,377.00,205.00,130.00,145.00,95.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 15:01:00,,1867.00,1166.00,378.00,196.00,126.00,143.00,97.00,39.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 16:01:00,,1761.00,1087.00,361.00,181.00,124.00,138.00,92.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 17:01:00,,1725.00,1030.00,345.00,171.00,118.00,128.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 18:02:00,,1716.00,1028.00,342.00,170.00,115.00,125.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 19:02:00,,1741.00,1038.00,341.00,172.00,117.00,126.00,90.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 20:02:00,,1731.00,1041.00,341.00,168.00,119.00,129.00,91.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 21:02:00,,1736.00,1030.00,346.00,169.00,115.00,131.00,87.00,37.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 22:02:00,,1741.00,1046.00,343.00,171.00,116.00,129.00,89.00,35.00,APPROVED
204,NY: NEW YORK CITY,06/24/2009 23:03:00,,1747.00,1054.00,345.00,169.00,115.00,128.00,87.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/25/2009 00:03:00,,1737.00,1040.00,338.00,172.00,118.00,130.00,89.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/25/2009 01:03:00,,1744.00,1037.00,343.00,168.00,119.00,132.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/25/2009 02:03:00,,1749.00,1051.00,345.00,170.00,116.00,129.00,85.00,38.00,APPROVED
204,NY: NEW YORK CITY,06/25/2009 03:03:00,,1749.00,1048.00,344.00,167.00,115.00,127.00,88.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/25/2009 04:04:00,,1745.00,1045.00,347.00,171.00,115.00,131.00,86.00,36.00,APPROVED
204,NY: NEW YORK CITY,06/25/2009 05:04:00,,1734.00,1034.00,349.00,166.00,115.00,129.00,85.00,37.00,APPROVED
