MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
709,TX: HOUSTON,01/01/2008 00:15:00,,121.00,49.00,31.00,30.00,87.00,565.00,6305.00,503.00,APPROVED
709,TX: HOUSTON,01/01/2008 01:15:00,,133.00,50.00,32.00,32.00,92.00,597.00,6538.00,547.00,APPROVED
709,TX: HOUSTON,01/01/2008 02:15:00,,134.00,54.00,31.00,33.00,95.00,610.00,6509.00,558.00,APPROVED
709,TX: HOUSTON,01/01/2008 03:15:00,,126.00,53.00,30.00,33.00,89.00,598.00,6434.00,537.00,APPROVED
709,TX: HOUSTON,01/01/2008 04:15:00,,121.00,53.00,29.00,32.00,89.00,578.00,6296.00,512.00,APPROVED
709,TX: HOUSTON,01/01/2008 05:16:00,,115.00,51.00,28.00,30.00,89.00,560.00,6211.00,493.00,APPROVED
709,TX: HOUSTON,01/01/2008 06:16:00,,112.00,49.00,26.00,28.00,84.00,539.00,6132.00,478.00,APPROVED
709,TX: HOUSTON,01/01/2008 07:16:00,,104.00,47.00,27.00,28.00,84.00,527.00,6072.00,462.00,APPROVED
709,TX: HOUSTON,01/01/2008 08:16:00,,100.00,48.00,27.00,28.00,81.00,518.00,6003.00,459.00,APPROVED
709,TX: HOUSTON,01/01/2008 09:17:00,,99.00,46.00,27.00,28.00,82.00,511.00,5964.00,461.00,APPROVED
709,TX: HOUSTON,01/01/2008 10:17:00,,98.00,48.00,25.00,27.00,80.00,510.00,5919.00,448.00,APPROVED
709,TX: HOUSTON,01/01/2008 11:17:00,,99.00,50.00,26.00,27.00,80.00,514.00,5848.00,443.00,APPROVED
709,TX: HOUSTON,01/01/2008 12:17:00,,97.00,47.00,27.00,27.00,81.00,512.00,5755.00,450.00,APPROVED
709,TX: HOUSTON,01/01/2008 13:17:00,,96.00,47.00,27.00,27.00,81.00,512.00,5699.00,445.00,APPROVED
709,TX: HOUSTON,01/01/2008 14:18:00,,97.00,46.00,27.00,28.00,81.00,509.00,5667.00,448.00,APPROVED
709,TX: HOUSTON,01/01/2008 15:18:00,,99.00,47.00,27.00,27.00,81.00,513.00,5718.00,454.00,APPROVED
709,TX: HOUSTON,01/01/2008 16:18:00,,99.00,48.00,26.00,28.00,79.00,510.00,5841.00,449.00,APPROVED
