MONITOR ID,LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
908,WA: SEATTLE,01/01/2018 00:43:00,,843.00,532.00,161.00,89.00,52.00,65.00,43.00,18.00,APPROVED
908,WA: SEATTLE,01/01/2018 01:43:00,,882.00,546.00,163.00,88.00,52.00,64.00,43.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 02:43:00,,896.00,558.00,163.00,89.00,53.00,64.00,43.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 03:44:00,,889.00,555.00,161.00,90.00,54.00,65.00,42.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 04:44:00,,881.00,554.00,163.00,88.00,53.00,65.00,42.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 05:44:00,,891.00,559.00,161.00,90.00,53.00,64.00,43.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 06:44:00,,891.00,556.00,166.00,89.00,53.00,65.00,43.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 07:45:00,,903.00,563.00,167.00,92.00,53.00,64.00,42.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 08:45:00,,908.00,576.00,170.00,94.00,53.00,66.00,43.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 09:45:00,,929.00,580.00,168.00,95.00,55.00,67.00,45.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 10:45:00,,916.00,583.00,170.00,95.00,54.00,69.00,44.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 11:45:00,,905.00,576.00,168.00,94.00,53.00,67.00,43.00,20.00,APPROVED
908,WA: SEATTLE,01/01/2018 12:46:00,,911.00,567.00,169.00,91.00,54.00,66.00,44.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 13:46:00,,912.00,577.00,171.00,94.00,55.00,69.00,43.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 14:46:00,,897.00,570.00,169.00,92.00,53.00,64.00,43.00,18.00,APPROVED
908,WA: SEATTLE,01/01/2018 15:46:00,,906.00,566.00,165.00,93.00,53.00,65.00,43.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 16:46:00,,904.00,564.00,164.00,94.00,54.00,66.00,44.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 17:47:00,,905.00,563.00,165.00,92.00,53.00,67.00,42.00,19.00,APPROVED
908,WA: SEATTLE,01/01/2018 18:47:00,,848.00,536.00,164.00,90.00,52.00,64.00,42.00,19.00,APPROVED
